CITIUSP_vox10,0.00008
CITIUSP_vox10-octree_lifting-r01,0.00026
CITIUSP_vox10-octree_lifting-r02,0.00012
CITIUSP_vox10-octree_lifting-r03,0.00008
CITIUSP_vox10-octree_lifting-r04,0.00008
CITIUSP_vox10-slicing_lifting-r01,0.00008
CITIUSP_vox10-slicing_lifting-r02,0.00008
CITIUSP_vox10-slicing_lifting-r03,0.00008
CITIUSP_vox10-slicing_lifting-r04,0.00008
fruits_vox10,0.00013
fruits_vox10-octree_lifting-r01,0.0003
fruits_vox10-octree_lifting-r02,0.00016
fruits_vox10-octree_lifting-r03,0.000135
fruits_vox10-octree_lifting-r04,0.00013
fruits_vox10-slicing_lifting-r01,0.00035
fruits_vox10-slicing_lifting-r02,0.00025
fruits_vox10-slicing_lifting-r03,0.00021
fruits_vox10-slicing_lifting-r04,0.00018
ipanemaCut_vox10,0.00008
ipanemaCut_vox10-octree_lifting-r01,0.00027
ipanemaCut_vox10-octree_lifting-r02,0.00015
ipanemaCut_vox10-octree_lifting-r03,0.0001
ipanemaCut_vox10-octree_lifting-r04,0.00008
ipanemaCut_vox10-slicing_lifting-r01,0.00008
ipanemaCut_vox10-slicing_lifting-r02,0.00008
ipanemaCut_vox10-slicing_lifting-r03,0.00008
ipanemaCut_vox10-slicing_lifting-r04,0.00008
longdress_vox10,0.00008
longdress_vox10-octree_lifting-r01,0.00025
longdress_vox10-octree_lifting-r02,0.00014
longdress_vox10-octree_lifting-r03,0.0001
longdress_vox10-octree_lifting-r04,0.00008
longdress_vox10-slicing_lifting-r01,0.00008
longdress_vox10-slicing_lifting-r02,0.00008
longdress_vox10-slicing_lifting-r03,0.00008
longdress_vox10-slicing_lifting-r04,0.00008
mitch_vox10,0.00012
mitch_vox10-octree_lifting-r01,0.0003
mitch_vox10-octree_lifting-r02,0.00016
mitch_vox10-octree_lifting-r03,0.00014
mitch_vox10-octree_lifting-r04,0.00013
mitch_vox10-slicing_lifting-r01,0.00012
mitch_vox10-slicing_lifting-r02,0.00012
mitch_vox10-slicing_lifting-r03,0.00012
mitch_vox10-slicing_lifting-r04,0.00012
wooden_dragon_vox10,0.00015
wooden_dragon_vox10-octree_lifting-r01,0.00032
wooden_dragon_vox10-octree_lifting-r02,0.00018
wooden_dragon_vox10-octree_lifting-r03,0.00017
wooden_dragon_vox10-octree_lifting-r04,0.00015
wooden_dragon_vox10-slicing_lifting-r01,0.0004
wooden_dragon_vox10-slicing_lifting-r02,0.00029
wooden_dragon_vox10-slicing_lifting-r03,0.00025
wooden_dragon_vox10-slicing_lifting-r04,0.00018
CITIUSP_vox10-slicing_lifting-r01b,0.00008
longdress_vox10-slicing_lifting-r02b,0.00008
wooden_dragon_vox10-slicing_lifting-r03b,0.00025
fruits_vox10-octree_lifting-r04b,0.000135
